epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1135.58,1.61745,1.73074,1.2979,0.55576,0.39089,0.42822,0.21413,1.66084,1.46918,1.38607,0.00999663,0.00333221,0.00999663,0.00333221,0.00999663,0.00333221,0.00999663,0.00333221
2,2148.73,1.5718,1.27535,1.27284,0.57883,0.39934,0.44491,0.22643,1.64263,1.42594,1.40157,0.0192048,0.00640159,0.0192048,0.00640159,0.0192048,0.00640159,0.0192048,0.00640159
3,3086.81,1.59232,1.24727,1.29267,0.58961,0.40263,0.45116,0.23025,1.65254,1.37043,1.42331,0.0276209,0.00920697,0.0276209,0.00920697,0.0276209,0.00920697,0.0276209,0.00920697
4,4010.49,1.58036,1.21242,1.2911,0.56282,0.48144,0.49699,0.25698,1.6111,1.27119,1.38044,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
5,4930.86,1.52012,1.12697,1.2541,0.60497,0.49517,0.52594,0.27516,1.55971,1.20403,1.33874,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
6,5839.09,1.48854,1.07722,1.23548,0.62246,0.50064,0.54003,0.28713,1.53989,1.17074,1.32563,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,6734.52,1.46191,1.03788,1.22074,0.62754,0.51959,0.56115,0.2991,1.53405,1.12916,1.31602,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,7639.89,1.44655,1.0214,1.21468,0.62924,0.53796,0.5728,0.3086,1.49869,1.11701,1.30625,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,8563.41,1.4358,1.00305,1.2053,0.65181,0.53845,0.5811,0.31646,1.48559,1.09239,1.29081,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,9474.83,1.42088,0.98711,1.19866,0.65375,0.55325,0.5921,0.32389,1.48211,1.07178,1.29049,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,10378.2,1.40309,0.96151,1.18773,0.67604,0.54417,0.59673,0.32664,1.47627,1.06097,1.28569,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,11289.6,1.3938,0.95126,1.18476,0.6914,0.54937,0.60368,0.3304,1.47136,1.05106,1.28352,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,12227.8,1.38339,0.9346,1.17715,0.67962,0.56013,0.61303,0.33482,1.46254,1.04205,1.27551,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,13152.4,1.37213,0.91807,1.17216,0.69242,0.55944,0.61233,0.33703,1.46029,1.034,1.27313,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,14079.9,1.36325,0.9094,1.16765,0.68666,0.5649,0.61647,0.3394,1.45918,1.02902,1.27372,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,14971.6,1.35139,0.83439,1.16678,0.69229,0.56826,0.61783,0.34164,1.45414,1.02312,1.27275,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
